"統一編號","公司名稱","公司地址","實收資本額","核准設立日期","營業地址（財政資訊中心匯入）","行業代號（財政資訊中心匯入）","財政資訊中心匯入日期","股票代號（金融監督管理委員會匯入）","產業別（金融監督管理委員會匯入）","金融監督管理委員會匯入日期","商標資料（智慧財產局匯入）","智慧財產局匯入日期"
"42599991","葳菁科技有限公司","南投縣竹山鎮鯉魚里鯉行路132-1號","0","1040918","南投縣竹山鎮鯉魚里００８鄰鯉行路１３２─１號","200300,723000,193099,454920","02-AUG-20","","","","",""
"42600250","巧樂施企業股份有限公司","彰化縣彰化市國聖里國聖路175巷135弄27號1樓","3000000","1040918","彰化縣彰化市國聖里國聖路１７５巷１３５弄２７號１樓","474316,456316,474315,","02-AUG-20","","","","",""
"42600370","保美化粧品有限公司","南投縣埔里鎮南村里中山路四段86號1樓","0","1040921","南投縣埔里鎮南村里中山路四段８６號１樓","193015,457211,,","02-AUG-20","","","","新彩,保美,","2019-11-22"
"42600385","成秉企業有限公司","彰化縣和美鎮詔安里彰和路二段430巷8號1樓","0","1031006","彰化縣和美鎮詔安里彰和路二段４３０巷８號１樓","259100,259999,461515,","02-AUG-20","","","","",""
"42600619","鎧岑工程有限公司","雲林縣麥寮鄉興華村16鄰15號","0","1040921","雲林縣麥寮鄉興華村１６鄰１５號","381111,439014,771100,529099","02-AUG-20","","","","",""
"42600723","開泰能源股份有限公司","雲林縣斗六市西平路780巷25之1號","600000000","1040921","雲林縣斗六市虎溪里西平路７８０巷２５─１號","351000,649911,,","02-AUG-20","","","","",""
"42600821","義豐密封科技有限公司","彰化縣鹿港鎮東崎里彰鹿路五段55號2樓","null","1040922","彰化縣鹿港鎮東崎里彰鹿路五段５５號２樓","210200,,,","02-AUG-20","","","","",""
"42600913","喜瑞食品有限公司","苗栗縣銅鑼鄉銅鑼村民享路30號","0","1040922","苗栗縣銅鑼鄉銅鑼村民享路３０號","081211,081216,454211,454212","02-AUG-20","","","","",""
"42600929","科奕精密工業有限公司","彰化縣和美鎮湖內里彰新路六段401號","null","1040922","彰化縣和美鎮湖內里彰新路六段４０１號","251299,,,","02-AUG-20","","","","",""
"42600940","悟暘機電科技有限公司","彰化縣花壇鄉長沙村中正路105巷9號","null","1040922","彰化縣花壇鄉長沙村０３３鄰中正路１０５巷９號","340015,340016,340017,340099","02-AUG-20","","","","",""
"42601223","崧成實業有限公司","彰化縣社頭鄉崙雅村民生路440巷4號1樓","0","1040923","彰化縣社頭鄉崙雅村民生路４４０巷４號１樓","123011,,,","02-AUG-20","","","","",""
"42601477","全輝有限公司","彰化縣二林鎮西斗里9鄰八間路178號","0","1040923","彰化縣二林鎮西斗里００９鄰八間路１７８號","303099,484311,,","02-AUG-20","","","","",""
"42601574","良將有限公司","彰化縣和美鎮四張里德美路594巷49號1樓","0","1040923","彰化縣和美鎮四張里德美路５９４巷４９號１樓","111299,,,","02-AUG-20","","","","",""
"42601589","天馬數位行銷有限公司","雲林縣斗六市江厝里瓦厝路172號2樓","0","1040923","雲林縣斗六市江厝里瓦厝路１７２號２樓","731011,,,","02-AUG-20","","","","",""
"42602314","振祐實業有限公司","彰化縣二林鎮三和街159號1樓","null","1040925","彰化縣二林鎮東和里０２４鄰三和街１５９號１樓","461599,,,","02-AUG-20","","","","",""
"42602594","驊豐科技有限公司","彰化縣彰化市崙平里平和三街27號","null","1040930","彰化縣彰化市崙平里平和三街２７號","254411,254412,,","02-AUG-20","","","","",""
"42602757","展旺網版印刷有限公司","彰化縣埔鹽鄉埔鹽村彰水路二段169巷50號","null","1040930","彰化縣埔鹽鄉埔鹽村彰水路２段１６９巷５０號","160100,160211,,","02-AUG-20","","","","",""
"42602927","昱棋有限公司","彰化縣線西鄉頂犁村和線路34號","null","1040930","彰化縣線西鄉頂犁村和線路３４號","461599,461915,259100,293311","02-AUG-20","","","","",""
"42603242","祝涮嘴食品有限公司","彰化縣和美鎮和東里孝德路53號1樓","null","1041001","彰化縣和美鎮和東里孝德路５３號１樓","454914,472921,,","02-AUG-20","","","","祝涮嘴,","2019-11-22"
